topic,rank,word,weight
0,1,sales,661.1229
0,2,practices,615.7458
0,3,misconduct,429.5203
0,4,audit,375.8808
0,5,loan,357.5066
0,6,risk,353.2141
0,7,community,345.4518
0,8,committee,284.7002
0,9,loans,244.8278
0,10,respondents,242.3362
0,11,would,223.9687
0,12,unsound,223.9137
0,13,unsafe,222.5879
0,14,unsafe unsound,221.5686
0,15,notice,206.5901
0,16,problem,204.6034
0,17,employees,199.2518
0,18,decision,192.7340
0,19,counsel,181.8403
0,20,million,180.6698
1,1,article,1224.6608
1,2,ensure,1201.8680
1,3,program,1019.6259
1,4,credit,972.2236
1,5,plan,892.3661
1,6,loan,878.4715
1,7,risk,838.1628
1,8,deputy,757.8109
1,9,days,755.6880
1,10,compliance,745.6273
1,11,assistant,723.9838
1,12,assistant deputy,721.1658
1,13,capital,683.8027
1,14,procedures,607.7181
1,15,supervisory,569.7574
1,16,adherence,553.9603
1,17,prior,514.3375
1,18,include,508.9674
1,19,information,506.9354
1,20,committee,462.5644
2,1,plan,529.6421
2,2,regional,491.2718
2,3,capital,374.4534
2,4,directors,338.3643
2,5,company,334.5080
2,6,holding company,321.2937
2,7,holding,320.5943
2,8,compliance,288.4557
2,9,business,249.0603
2,10,days,241.5451
2,11,regulations,231.6757
2,12,savings,210.2909
2,13,assets,196.8503
2,14,directive,195.0614
2,15,whereas,191.8524
2,16,supervisory,181.3704
2,17,resolution,175.4498
2,18,cease,175.0933
2,19,desist,170.4399
2,20,prior,167.8018
3,1,article,563.3559
3,2,proceedings,325.5966
3,3,money,305.8556
3,4,penalty,300.0483
3,5,civil,298.2446
3,6,civil money,294.9785
3,7,money penalty,293.7722
3,8,insured,288.5487
3,9,currency,279.3969
3,10,rights,275.3867
3,11,respect,267.1108
3,12,issuance,263.0290
3,13,amended,229.6895
3,14,initials,227.1665
3,15,violations,226.1979
3,16,insured depository,223.6036
3,17,affiliated,223.0579
3,18,paragraph,222.4459
3,19,department,199.1313
3,20,except,198.8134
4,1,stipulation,726.8076
4,2,fdia,524.5896
4,3,savings,491.6922
4,4,issuance,478.5102
4,5,prohibition,343.2553
4,6,supervision,333.6547
4,7,thrift,328.8494
4,8,office thrift,316.4698
4,9,thrift supervision,312.4476
4,10,desist,300.0464
4,11,cease,293.1786
4,12,administrative,292.5671
4,13,cease desist,286.3492
4,14,proceeding,278.1368
4,15,insured,232.5119
4,16,civil,210.8871
4,17,amended,210.2158
4,18,agrees,208.3735
4,19,right,202.4820
4,20,affiliated,197.3181
5,1,article,264.4040
5,2,product,228.8762
5,3,customer,202.3745
5,4,reimbursement,196.1368
5,5,customers,189.5695
5,6,protection,173.4023
5,7,stipulation,167.3267
5,8,plan,162.2806
5,9,identity,158.7614
5,10,eligible,148.9769
5,11,supervisory,137.4687
5,12,products,133.4464
5,13,credit,130.7314
5,14,deputy,127.1038
5,15,third,123.1092
5,16,compliance,117.4602
5,17,identity protection,117.1667
5,18,findings,113.3083
5,19,party,107.0023
5,20,charge,106.9906
